TransactionID,pipeline,fraud_prob,prediction,e2e_latency_ms,score_latency_ms,batch_score_ms,batch_latency_s
A1#3663870,A1,0.029092,legit,19.461,0.415,,
A1#3664387,A1,0.135062,legit,13.128,0.375,,
A1#3663745,A1,0.385429,legit,12.935,0.392,,
A1#3663842,A1,0.041542,legit,21.168,0.387,,
B0#3663680,B0,0.070047,legit,,0.381,,18.1728
B0#3664425,B0,0.022249,legit,,0.379,,127.5254
A1#3664533,A1,0.013642,legit,13.166,0.375,,
enrichment_off#3663552,A2,0.027429,legit,7310.839,,6.118,
A1#3664056,A1,0.12164,legit,14.633,0.412,,
enrichment_off#3663707,A2,0.040748,legit,40.774,,0.63,
A1#3664126,A1,0.016179,legit,15.654,0.394,,
B0#3663740,B0,0.209543,legit,,0.358,,25.932
A2#3664450,A2,0.162364,legit,39.49,,0.407,
A2#3664275,A2,0.01759,legit,39.116,,0.432,
enrichment_off#3663657,A2,0.080782,legit,495.252,,0.802,
enrichment_on#3663747,A2,0.052005,legit,43.049,,0.634,
B0#3663596,B0,0.026345,legit,,0.385,,7.5975
A1#3663901,A1,0.036914,legit,13.521,0.411,,
enrichment_off#3663728,A2,0.019316,legit,40.498,,0.639,
A2#3663985,A2,0.152842,legit,41.474,,2.087,
A2#3664186,A2,0.034436,legit,58.929,,0.452,
B0#3664320,B0,0.02399,legit,,0.391,,111.1854
enrichment_off#3663652,A2,0.040271,legit,1270.277,,0.804,
A2#3663659,A2,0.009064,legit,41.113,,0.45,
A1#3664493,A1,0.009028,legit,10.393,0.381,,
A1#3663983,A1,0.102206,legit,14.633,0.4,,
A2#3664254,A2,0.112917,legit,92.633,,0.404,
A2#3664034,A2,0.09619,legit,42.619,,0.395,
B0#3663551,B0,0.018437,legit,,0.377,,0.7037
3663719,A2,0.148472,legit,37.468,,0.611,
B0#3663880,B0,0.261027,legit,,0.359,,45.4145
A2#3663706,A2,0.090245,legit,41.334,,0.4,
B0#3664522,B0,0.054498,legit,,0.368,,143.0916
B0#3664067,B0,0.025886,legit,,0.376,,74.2578
A2#3664129,A2,0.180765,legit,42.429,,3.573,
A1#3664275,A1,0.020671,legit,15.376,0.395,,
B0#3664317,B0,0.165332,legit,,0.397,,110.4087
B0#3664109,B0,0.021222,legit,,0.375,,79.961
A2#3664262,A2,0.1364,legit,49.645,,2.113,
A1#3664351,A1,0.024715,legit,16.037,0.412,,
B0#3664071,B0,0.016506,legit,,0.359,,74.7413
A2#3664277,A2,0.017518,legit,68.694,,0.418,
3663712,A2,0.063359,legit,48.988,,0.612,
A2#3664379,A2,0.050335,legit,40.727,,0.384,
B0#3664361,B0,0.043409,legit,,0.376,,119.012
B0#3664006,B0,0.095966,legit,,0.354,,66.0173
A2#3664340,A2,0.031172,legit,42.823,,0.402,
enrichment_off#3663610,A2,0.159149,legit,4243.406,,0.793,
3663580,A2,0.190839,legit,8464.595,,9.282,
A1#3663970,A1,0.091026,legit,17.737,0.396,,
A2#3664128,A2,0.028694,legit,45.099,,4.948,
B0#3664028,B0,0.041251,legit,,0.378,,69.2984
enrichment_on#3663741,A2,0.077777,legit,39.576,,0.638,
A2#3664547,A2,0.028865,legit,41.513,,0.398,
A1#3663922,A1,0.206445,legit,14.117,0.4,,
A2#3663741,A2,0.090848,legit,38.468,,0.406,
enrichment_on#3663686,A2,0.018419,legit,40.4,,0.611,
3663646,A2,0.088688,legit,672.629,,0.772,
enrichment_off#3663644,A2,0.06941,legit,1687.252,,0.802,
A1#3663739,A1,0.011242,legit,14.142,0.502,,
B0#3663684,B0,0.121326,legit,,0.358,,18.6787
B0#3664341,B0,0.017756,legit,,0.389,,115.7715
B0#3663841,B0,0.065762,legit,,0.388,,40.1183
B0#3664262,B0,0.125189,legit,,0.365,,100.6785
A2#3663774,A2,0.039275,legit,38.667,,0.373,
A1#3663799,A1,0.037823,legit,13.492,0.488,,
B0#3664014,B0,0.117711,legit,,0.376,,67.4797
A1#3664065,A1,0.061547,legit,16.699,0.385,,
